source,destination,bytes,sha256,reason,evidence
sw_ability/req_beastlvl_r.tga,sw_ui/req_beastlvl_r.tga,4114,afa6d7e2952a1eb31c2085a323870eede00e8db69c1d3f14c841e90d1719377d,"PerkRequirementCategory.cs identifies requirement-state UI indicator; not an ability, feat, spell, or effect icon; no corresponding feat/spell/effecticons table resource reference.",
sw_ability/req_beastrole_r.tga,sw_ui/req_beastrole_r.tga,4114,33ae05cfa321e4f17dfbc6843c6c058ec6fc6de220c6ccc33ec7c34074c69a41,"PerkRequirementCategory.cs identifies requirement-state UI indicator; not an ability, feat, spell, or effect icon; no corresponding feat/spell/effecticons table resource reference.",
sw_ability/req_chartype_r.tga,sw_ui/req_chartype_r.tga,4114,922a6328556e69ff36df61b027f5b3d24e892387e9dc627110a1697a6c70af99,"PerkRequirementCategory.cs identifies requirement-state UI indicator; not an ability, feat, spell, or effect icon; no corresponding feat/spell/effecticons table resource reference.",
sw_ability/req_met.tga,sw_ui/req_met.tga,4114,2e62e75f5a53f685dcb9c669a755ff81da4038c1ddee2850a5332d575b47b280,"PerkRequirementCategory.cs identifies requirement-state UI indicator; not an ability, feat, spell, or effect icon; no corresponding feat/spell/effecticons table resource reference.",
sw_ability/req_needperk_r.tga,sw_ui/req_needperk_r.tga,4114,e49273bc6a7bcc8c8982681a2c3d49b5f06ad5695cc7d536f1103ad0116799be,"PerkRequirementCategory.cs identifies requirement-state UI indicator; not an ability, feat, spell, or effect icon; no corresponding feat/spell/effecticons table resource reference.",
sw_ability/req_noperk_r.tga,sw_ui/req_noperk_r.tga,4114,4d3ee1f4e2a6e9d3fd0f2ef4368197e1416151eae932b5410a3c9f1fd5f4c396,"PerkRequirementCategory.cs identifies requirement-state UI indicator; not an ability, feat, spell, or effect icon; no corresponding feat/spell/effecticons table resource reference.",
sw_ability/req_other.tga,sw_ui/req_other.tga,4114,18128adb099c9f0763fde016fe83b72105876380de8cc17ba13304dbe0f09c66,"PerkRequirementCategory.cs identifies requirement-state UI indicator; not an ability, feat, spell, or effect icon; no corresponding feat/spell/effecticons table resource reference.",
sw_ability/req_other_r.tga,sw_ui/req_other_r.tga,4114,8c64504178a5c82bc4f0b85256d6c6b6be4bd599dbc8d9a3c4c82d98e56a0ba5,"PerkRequirementCategory.cs identifies requirement-state UI indicator; not an ability, feat, spell, or effect icon; no corresponding feat/spell/effecticons table resource reference.",
sw_ability/req_quest_r.tga,sw_ui/req_quest_r.tga,4114,59c8d797150a51f300ee932bae3960de5f1bd31fe8c6e420b568aad5c8400c09,"PerkRequirementCategory.cs identifies requirement-state UI indicator; not an ability, feat, spell, or effect icon; no corresponding feat/spell/effecticons table resource reference.",
sw_ability/req_skill_r.tga,sw_ui/req_skill_r.tga,4114,a57dad44e9910540a27ed754277012c8098931b97d8b03fb2e7d7cb3a37aca09,"PerkRequirementCategory.cs identifies requirement-state UI indicator; not an ability, feat, spell, or effect icon; no corresponding feat/spell/effecticons table resource reference.",
sw_ability/req_unlock_r.tga,sw_ui/req_unlock_r.tga,4114,6449e97bd658b55393b9277ea6d31e0bf3ec1d99ba5af1c5f88ec0b977353558,"PerkRequirementCategory.cs identifies requirement-state UI indicator; not an ability, feat, spell, or effect icon; no corresponding feat/spell/effecticons table resource reference.",
